net,length_um
_10056_,137.01
_08607_,136.94
_08621_,136.88
_11715_,136.78
pe_row\[2\].pe_col\[2\].pe_inst.a_out\[7\],136.65
_06294_,136.38
pe_row\[2\].pe_col\[1\].pe_inst.b_out\[7\],136.3
pe_row\[0\].pe_col\[0\].pe_inst.b_out\[0\],135.86
_01580_,135.675
_08690_,135.615
_07994_,135.085
_06123_,134.93
_05883_,134.66
_06154_,134.56
_08521_,134.35
_04027_,134.19
clknet_4_3__leaf_clk,134.09
_10150_,133.95
pe_row\[1\].pe_col\[0\].pe_inst.a_in\[1\],133.66
pe_row\[2\].pe_col\[1\].pe_inst.a_out\[1\],132.72
_05374_,132.69
_06706_,132.48
_11913_,132.08
pe_row\[1\].pe_col\[0\].pe_inst.a_out\[7\],132
pe_row\[0\].pe_col\[3\].pe_inst.b_out\[1\],131.74
pe_row\[2\].pe_col\[0\].pe_inst.b_out\[7\],131.34
_06128_,131.005
_07843_,131
net243,130.96
_06244_,130.84
_08641_,130.79
_07714_,130.7
net109,130.555
_10370_,130.54
net574,130.48
_10076_,130.15
_01010_,129.48
_04662_,129.17
_08626_,129.145
_06117_,128.99
_12466_,128.9
_11724_,128.36
_05482_,128.34
_10933_,128.28
_09368_,128.26
pe_row\[1\].pe_col\[1\].pe_inst.a_out\[7\],128.195
_06161_,128.12
pe_row\[2\].pe_col\[0\].pe_inst.a_in\[1\],128.1
clknet_leaf_19_clk,128.02
_12556_,127.78
_07885_,127.66
net319,127.66
_02246_,127.62
_07715_,127.48
_10922_,127.12
_12616_,127.105
_06640_,127.06
_00086_,126.685
_06307_,126.44
_03135_,126.42
_03180_,125.44
_10311_,125.44
_10226_,125.4
pe_row\[0\].pe_col\[3\].pe_inst.b_out\[3\],125.38
net127,125.16
pe_row\[2\].pe_col\[1\].pe_inst.a_out\[4\],124.96
_13163_,124.79
net83,124.7
_06641_,124.62
_05481_,124.42
_04817_,124.32
_06487_,124.3
_01105_,124.24
pe_row\[3\].pe_col\[0\].pe_inst.a_in\[3\],124.05
_07043_,123.82
_09119_,123.76
net283,123.65
_01719_,123.6
_06310_,123.34
_10052_,123.3
_08612_,123.225
_00216_,122.975
pe_row\[1\].pe_col\[3\].pe_inst.b_out\[2\],122.92
_13174_,122.765
pe_row\[0\].pe_col\[2\].pe_inst.b_in\[6\],122.38
_10176_,122.235
_08635_,122.145
_13169_,122.1
pe_row\[2\].pe_col\[1\].pe_inst.b_out\[0\],121.925
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[4\],121.815
pe_row\[1\].pe_col\[0\].pe_inst.a_out\[4\],121.76
_13155_,121.725
_12844_,121.7
_13165_,121.335
net575,121.19
_01600_,121.15
_12935_,120.89
_05462_,120.77
_04141_,120.705
_11092_,120.695
_01525_,120.56
pe_row\[0\].pe_col\[2\].pe_inst.b_in\[7\],120.52
_07854_,120.14
_05368_,120.13
_10237_,120
_07069_,119.92
pe_row\[2\].pe_col\[2\].pe_inst.b_out\[0\],119.64
pe_row\[0\].pe_col\[0\].pe_inst.a_out\[4\],119.52
_03341_,119.28
_08592_,118.99
_07058_,118.89
_05296_,118.78
_10973_,118.63
pe_row\[0\].pe_col\[1\].pe_inst.b_out\[5\],117.89
_05430_,117.75
